DBPedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBPedia_Company_1,http://dbpedia.org/resource/%C3%80_la_Table_de_Spanghero,http://dbpedia.org/resource/Castelnaudary,http://dbpedia.org/resource/France,Barthélémy Aguerre,,,,,
DBPedia_Company_2,http://dbpedia.org/resource/%C3%81guas_de_Portugal,http://dbpedia.org/resource/Lisbon,Portugal,,,,,,
DBPedia_Company_3,http://dbpedia.org/resource/%C3%86terna_Zentaris,http://dbpedia.org/resource/Quebec,http://dbpedia.org/resource/Canada,,,,,,
DBPedia_Company_4,http://dbpedia.org/resource/%C3%87al%C4%B1k_Enerji,http://dbpedia.org/resource/Istanbul,http://dbpedia.org/resource/Turkey,,,,,,
DBPedia_Company_5,http://dbpedia.org/resource/%C3%87ukurova_(construction_firm),Istanbul,Turkey,,,,,,
DBPedia_Company_6,http://dbpedia.org/resource/%C3%93rbita_bicycles,http://dbpedia.org/resource/%C3%81gueda,Portugal,,,,,,
DBPedia_Company_7,http://dbpedia.org/resource/%C3%96verskottsbolaget,http://dbpedia.org/resource/Mj%C3%B6lby_Municipality,http://dbpedia.org/resource/Sweden,,,,,,
DBPedia_Company_8,http://dbpedia.org/resource/%C3%96zal_Group,http://dbpedia.org/resource/Ankara,http://dbpedia.org/resource/Turkey,,,,,,
DBPedia_Company_9,http://dbpedia.org/resource/%C3%99r-sgeul,http://dbpedia.org/resource/Glasgow,http://dbpedia.org/resource/Scotland;;http://dbpedia.org/resource/United_Kingdom,,,,,,
DBPedia_Company_10,http://dbpedia.org/resource/%C3%9Cstra,http://dbpedia.org/resource/Hanover,http://dbpedia.org/resource/Germany,André Nei_,,,,,
DBPedia_Company_11,http://dbpedia.org/resource/%C4%8CD_Cargo,Prague,Czech rep.,,,,,,
DBPedia_Company_12,http://dbpedia.org/resource/%C4%8Cesk%C3%A1_zbrojovka_Uhersk%C3%BD_Brod,http://dbpedia.org/resource/Moravia;;http://dbpedia.org/resource/Uhersk%C3%BD_Brod,http://dbpedia.org/resource/Czech_Republic,,,,,,
DBPedia_Company_13,http://dbpedia.org/resource/%C4%8CEZ_Group,http://dbpedia.org/resource/Prague,http://dbpedia.org/resource/Czech_Republic,,,,,,
DBPedia_Company_14,http://dbpedia.org/resource/%C4%B0sdemir,http://dbpedia.org/resource/%C4%B0skenderun;;http://dbpedia.org/resource/Hatay_Province,http://dbpedia.org/resource/Turkey,"Ali Aydın Pandır ,;;Recep _zhan",,,,,
DBPedia_Company_15,http://dbpedia.org/resource/%C4%B0stanbul_Plak,Istanbul,Turkey,"* Mustafa Sö_üto_lu
* Mehmet Sö_üto_lu;;founders",,,,,
DBPedia_Company_16,http://dbpedia.org/resource/%C5%A0koda_Auto,http://dbpedia.org/resource/Mlad%C3%A1_Boleslav,http://dbpedia.org/resource/Czech_Republic,[Christian Klingler];;http://dbpedia.org/resource/Winfried_Vahland,,,,,
DBPedia_Company_17,http://dbpedia.org/resource/%C5%A0koda_Auto_India_Private_Limited,"http://dbpedia.org/resource/Aurangabad,_Maharashtra;;http://dbpedia.org/resource/Maharashtra",http://dbpedia.org/resource/India,Sudhir Rao,,,,,
DBPedia_Company_18,http://dbpedia.org/resource/%C5%A0koda_Works,http://dbpedia.org/resource/Plze%C5%88,http://dbpedia.org/resource/Czech_Republic,,,,,,
DBPedia_Company_19,http://dbpedia.org/resource/%C5%A0kolska_knjiga,http://dbpedia.org/resource/Zagreb,Croatia,Ante Žužul,,,,,
DBPedia_Company_20,http://dbpedia.org/resource/%C5%BDeljezni%C4%8Dki_prevoz_Crne_Gore,http://dbpedia.org/resource/Podgorica,http://dbpedia.org/resource/Montenegro,,,,,,
DBPedia_Company_21,http://dbpedia.org/resource/@WalmartLabs,"http://dbpedia.org/resource/California;;http://dbpedia.org/resource/San_Bruno,_California",United States,Bill Miller;;Ravi Mhatre;;Theresia Ranzetta;;http://dbpedia.org/resource/Edward_Zander;;http://dbpedia.org/resource/Jeff_Bezos;;http://dbpedia.org/resource/Jonathan_Miller_(businessman),2005,http://dbpedia.org/resource/Internet,,50,
DBPedia_Company_22,http://dbpedia.org/resource/10_West_Studios,"http://dbpedia.org/resource/Manistee,_Michigan;;http://dbpedia.org/resource/United_States",United States,,2008,,,,
DBPedia_Company_23,http://dbpedia.org/resource/12_Yard,London,UK,,2001,http://dbpedia.org/resource/Television,,,
DBPedia_Company_24,http://dbpedia.org/resource/123_Money,http://dbpedia.org/resource/Dublin,http://dbpedia.org/resource/Ireland,,,http://dbpedia.org/resource/Insurance,,,
DBPedia_Company_25,http://dbpedia.org/resource/123Greetings.com,http://dbpedia.org/resource/New_York_City,http://dbpedia.org/resource/United_States,,1997,http://dbpedia.org/resource/E-card;;http://dbpedia.org/resource/E-commerce;;http://dbpedia.org/resource/Internet,,150,
DBPedia_Company_26,http://dbpedia.org/resource/123RF,http://dbpedia.org/resource/Chicago,http://dbpedia.org/resource/United_States,,2005,http://dbpedia.org/resource/Stock_Photography,,,
