DBpedia,Freebase,
http://dbpedia.org/resource/Apple_Inc.,Apple Inc.,TRUE
http://dbpedia.org/resource/Citigroup,Citigroup,TRUE
http://dbpedia.org/resource/Gazprom,Gazprom,TRUE
http://dbpedia.org/resource/China_Mobile,China Mobile,TRUE
http://dbpedia.org/resource/Petrobras,Petrobras,TRUE
http://dbpedia.org/resource/Microsoft,Microsoft Corporation,TRUE
http://dbpedia.org/resource/Rosneft,Rosneft,TRUE
http://dbpedia.org/resource/IBM,IBM,TRUE
http://dbpedia.org/resource/Mitsubishi_UFJ_Financial_Group,Mitsubishi UFJ Financial Group,TRUE
http://dbpedia.org/resource/Eni,Eni,TRUE
http://dbpedia.org/resource/Johnson_&_Johnson,Johnson &amp; Johnson,TRUE
http://dbpedia.org/resource/BMW,BMW,TRUE
http://dbpedia.org/resource/Enel,ENEL S.p.A.,TRUE
http://dbpedia.org/resource/ConocoPhillips,ConocoPhillips,TRUE
http://dbpedia.org/resource/Intel,Intel,TRUE
http://dbpedia.org/resource/The_Coca-Cola_Company,Coca-Cola,TRUE
http://dbpedia.org/resource/Cisco_Systems,"Cisco Systems, Inc.",TRUE
http://dbpedia.org/resource/Lukoil,LukOil,TRUE
"http://dbpedia.org/resource/Boeing_Defense,_Space_&_Security",Boeing,TRUE
http://dbpedia.org/resource/Hyundai_Motor_Company,Hyundai Motor Company,TRUE
http://dbpedia.org/resource/Carrefour,Carrefour,TRUE
http://dbpedia.org/resource/EMC_Corporation,EMC Corporation,TRUE
http://dbpedia.org/resource/Canon_(company),Canon Inc.,TRUE
http://dbpedia.org/resource/East_Japan_Railway_Company,East Japan Railway Company,TRUE
http://dbpedia.org/resource/Natixis,Natixis,TRUE
http://dbpedia.org/resource/Groupe_SEB,Groupe SEB,TRUE
http://dbpedia.org/resource/Renault,Renault,TRUE
http://dbpedia.org/resource/Hyundai_Motor_Company,Hyundai Motor Company,TRUE
http://dbpedia.org/resource/Marathon_Petroleum,Marathon Oil,TRUE
http://dbpedia.org/resource/Bridgestone,Bridgestone,TRUE
http://dbpedia.org/resource/Fresenius_(company),Fresenius SE,TRUE
http://dbpedia.org/resource/Kroger,Kroger,TRUE
http://dbpedia.org/resource/Michelin,Michelin,TRUE
http://dbpedia.org/resource/Richemont,Richemont,TRUE
http://dbpedia.org/resource/Merck_KGaA,Merck KGaA,TRUE
http://dbpedia.org/resource/Viacom_(original),Viacom,TRUE
http://dbpedia.org/resource/Vale_(mining_company,Vale,TRUE
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
