DBpedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBpedia_Company_1,http://dbpedia.org/resource/DynamicOps,"Burlington, MA",USA,,2008,,,,
DBpedia_Company_2,http://dbpedia.org/resource/TicketNetwork,"http://dbpedia.org/resource/South_Windsor,_Connecticut",USA,"Doug Kruse, CTO",2002,http://dbpedia.org/resource/Artisan_Entertainment,,,
DBpedia_Company_3,http://dbpedia.org/resource/Prvi_Partizan,http://dbpedia.org/resource/U%C5%BEice,http://dbpedia.org/resource/Serbia,Dobrosav Andri_,1928;;1998,http://dbpedia.org/resource/Ammunition,5.36E+07,935,6.72E+07
DBpedia_Company_4,http://dbpedia.org/resource/Concur_Technologies,,,"Elena Donio, President;;Michael W. Hilton, Co-Founder;;Rajeev Singh, Co-Founder;;Steve Singh, CEO",1993,http://dbpedia.org/resource/Software,,4600,
DBpedia_Company_5,http://dbpedia.org/resource/Boustead_Singapore,,,,1828,http://dbpedia.org/resource/Engineering,5.14E+08,,
DBpedia_Company_6,http://dbpedia.org/resource/Grgich_Hills_Estate,"Rutherford, California",USA,"Ivo Jeramaz, Vice President of Vineyards and Production,;;Mike Grgich, Winemaker, Proprietor/President & CEO;;Violet Grgich, Co-Proprietor/VP Operations, Sales & Marketing",,,,,
DBpedia_Company_7,http://dbpedia.org/resource/Field_View_Farm,"http://dbpedia.org/resource/Orange,_Connecticut",United States,"Walter S. Hine & Dorothy Hine, current owners",1639,,,,
DBpedia_Company_8,http://dbpedia.org/resource/J_Salmon_Ltd,,,,1880,,,,
DBpedia_Company_9,http://dbpedia.org/resource/Numa_Records,,,,,,,,
DBpedia_Company_10,http://dbpedia.org/resource/SYUN,,,,1994,,,,
DBpedia_Company_11,http://dbpedia.org/resource/NRG_Engineering,Fusionopolis complex,Singapore,,2005,,,,
DBpedia_Company_12,http://dbpedia.org/resource/Nitroplus,http://dbpedia.org/resource/Tait%C5%8D,http://dbpedia.org/resource/Japan,,2000,http://dbpedia.org/resource/PC_game,,39,
DBpedia_Company_13,http://dbpedia.org/resource/Tippermusic,,,,,,,,
DBpedia_Company_14,http://dbpedia.org/resource/Discos_Konfort,,,,,,,,
DBpedia_Company_15,http://dbpedia.org/resource/Richard_F._Lary,,,,,,,,
DBpedia_Company_16,http://dbpedia.org/resource/HigdonBraddockMatthews,,,"Christian Fabros, Associate;;Ed Fowler, Partner;;Hank Higdon, Founder;;Jane Bierwirth, Partner;;Maryann Bovich, Partner",1986,,,,
DBpedia_Company_17,http://dbpedia.org/resource/Sportsgirl,,,,,,,,
DBpedia_Company_18,http://dbpedia.org/resource/Perceptron_Inc.,,,Mr. John H. Lowry III,1981,,6.11E+07,,
DBpedia_Company_19,http://dbpedia.org/resource/Arab_Banking_Corporation_Algeria,Algiers,http://dbpedia.org/resource/Algeria,,,http://dbpedia.org/resource/Financial_services,,,
DBpedia_Company_20,http://dbpedia.org/resource/A.P.P.P.,,,Kazufumi Nomura,1984,http://dbpedia.org/resource/Animation_studio,,,
DBpedia_Company_21,http://dbpedia.org/resource/GE_Trailer_Fleet_Services,,,,1957,,,,
DBpedia_Company_22,http://dbpedia.org/resource/National_Metal_and_Steel,,,,,,,,
DBpedia_Company_23,http://dbpedia.org/resource/Data_Management_Inc.,,,,1988,http://dbpedia.org/resource/Digital_distribution;;http://dbpedia.org/resource/Software,,,
DBpedia_Company_24,http://dbpedia.org/resource/Ralph_Bates_Pancreatic_Cancer_Research_Fund,,,http://dbpedia.org/resource/John_Sullivan_(writer);;http://dbpedia.org/resource/Patronage,1992,,,,
DBpedia_Company_25,http://dbpedia.org/resource/Norwegian_Property,,,"Olav Line , Nils Selte",2006,http://dbpedia.org/resource/Real_estate,1.03E+09,38,1.59E+10
DBpedia_Company_26,http://dbpedia.org/resource/NurseFinders,"http://dbpedia.org/resource/Arlington,_Texas",http://dbpedia.org/resource/United_States,,1974,http://dbpedia.org/resource/Health_care,,,
